Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
midnight-masquerade,Midnight Masquerade,"<p>It’s a ball! Our newest collaboration with Disney features a 15 pan shadow palette featuring party ready shades inspired by your favorite Disney princesses! Includes buttery mattes, lux metallics, and sparkling Pressed Glitters!</p><p>This item is limited edition.</p><p>©Disney</p>",ColourPop,Shadow Palette,"#.collection:promoproducts,#.hidden:false,#.promo-price:1800,#.promo:XMAS20,#.trigger:mascaraupsell,100719,Blues/Teals,Browns,category:Eyes,collab:Disney,color:Multi,event:Disney Masquerade,Eye Palettes,Eyepalettes,finish:Multi,Glitter,Golds,Greens,in-stock,Matte,Metallic,Neutrals,Oranges/Corals,Pinks,productline:ColourPop,productsize:full,producttype:Shadow Palette,Purples,Reds,Shadow Palette,subcategory:Eye Palettes,technology:Pressed Powder,unitnumber:15,unittype:single,Yellows/Oranges",2019-10-07T07:58:42-07:00,Title,Default Title,,,,,EyePalette-MidnightMasquerade,173,shopify,,,,24.00,,True,True,,,1,,,Midnight Masquerade,Midnight Masquerade,,,,,,,,,,,,,,,G,,
its-a-princess-thing-disney-eyeshadow-palette,It's a Princess Thing,"<p>Inspired by the iconic Disney princesses this palette is a dream come true ✨</p><p>This 15 pan palette was created in collaboration with Disney and features soft romantic shadows perfect for any look, from daytime sing-a-long glam or a magical ballroom look.</p><p>This item is limited edition.</p><p>©Disney</p>",ColourPop,Shadow Palette,"#.collection:promoproducts,#.hidden:false,#.promo-price:1800,#.promo:XMAS20,#.shipping:china,#.trigger:mascaraupsell,092718,category:Eyes,collab:Disney,color:Multi,dy_keywords:disney|princess,event:Disney Designer Princess,eye palette,eye palettes,finish:Multi,in-stock,MDW30,PaletteParty,productline:ColourPop,productsize:full,producttype:Shadow Palette,Shadow Palette,subcategory:Eye Palettes,technology:Pressed Powder,test,Top 300,unitnumber:15,unittype:single",2018-09-18T05:59:07-07:00,Title,Default Title,,,,,EyePalette-ItsAPrincessThing,142,shopify,,,,24.00,,True,True,,,1,,,It's a Princess Thing,It's a Princess Thing,,,,,,,,,,,,,,,G,,
elsa-eyeshadow-palette,Elsa,"<p>Be brave and bold with the cool-toned Elsa Palette! Featuring 9 icy shades, in matte, metallic, and Pressed Glitter finishes, you’ll find your own way to express yourself!</p><p>This item is limited edition.</p><p>©Disney </p>",ColourPop,Shadow Palette,"#.collection:promoproducts,#.hidden:false,#.promo-price:1200,#.promo:XMAS20,#.trigger:mascaraupsell,111519,9panpromo,Blues/Teals,category:Eyes,collab:Disney,color:Multi,dy_keywords:disney|frozen|elsa,event:Frozen 2 2019,Eye Palettes,finish:Multi,Glitter,in-stock,Matte,Metallic,Neutrals,Pinks,productline:ColourPop,productsize:full,producttype:Shadow Palette,Purples,Reds,Silvers,subcategory:Eye Palettes,technology:Pressed Powder,unitnumber:9,unittype:single",2019-11-15T09:57:33-08:00,Title,Default Title,,,,,EyePalette-Elsa,113,shopify,,,,16.00,,True,True,,,1,,,Elsa,Elsa,,,,,,,,,,,,,,,G,,
bambi-eyeshadow-palette,Bambi Palette,<p>This item is not available to ship to Venezuela.</p><p><strong>©Disney</strong></p>,ColourPop,Shadow Palette,"#.collection:promoproducts,#.hidden:false,#.promo-price:1050,#.shipping:Venezuela-restrict,022521,category:Eyes,collab:Disney,color2:Neutrals,color:Yellows,event:Bambi,Eye Palettes,finish:Multi,Matte,Matte Sparkle,Metallic,Neutrals,new,productline:ColourPop,productsize:full,producttype:Shadow Palette,subcategory:Eye Palettes,technology:Pressed Powder,unitnumber:5,unittype:single,Yellows",2021-02-25T09:59:01-08:00,Title,Default Title,,,,,EyePalette-Bambi,62,shopify,,,,14.00,,True,True,,,1,,,Bambi Palette,Bambi Palette,,,,,,,,,,,,,,,G,,
flower-pressed-powder-makeup-palette,Flower Palette,<p>This item is not available to ship to Venezuela.</p><p><strong>©Disney</strong></p>,ColourPop,Shadow Palette,"#.collection:promoproducts,#.hidden:false,#.promo-price:1050,#.shipping:Venezuela-restrict,022521,category:Eyes,collab:Disney,color2:Neutrals,color:Purples,event:Bambi,Eye Palettes,finish:Multi,Matte,Matte Sparkle,Metallic,Neutrals,new,productline:ColourPop,productsize:full,producttype:Shadow Palette,Purples,subcategory:Eye Palettes,technology:Pressed Powder,unitnumber:5,unittype:single",2021-02-25T09:59:07-08:00,Title,Default Title,,,,,EyePalette-Flower,62,shopify,,,,14.00,,True,True,,,1,,,Flower Palette,Flower Palette,,,,,,,,,,,,,,,G,,
thumper-eyeshadow-palette,Thumper Palette,<p>This item is not available to ship to Venezuela.</p><p><strong>©Disney</strong></p>,ColourPop,Shadow Palette,"#.collection:promoproducts,#.hidden:false,#.promo-price:1050,#.shipping:Venezuela-restrict,022521,category:Eyes,collab:Disney,color:Multi,event:Bambi,Eye Palettes,finish:Multi,Greens,Matte,Matte Sparkle,Metallic,Neutrals,new,Pinks,productline:ColourPop,productsize:full,producttype:Shadow Palette,subcategory:Eye Palettes,technology:Pressed Powder,unitnumber:5,unittype:single",2021-02-25T09:59:16-08:00,Title,Default Title,,,,,EyePalette-Thumper,62,shopify,,,,14.00,,True,True,,,1,,,Thumper Palette,Thumper Palette,,,,,,,,,,,,,,,G,,
morning-light-puff-highlighter,Morning Light,<p>warm gold with multi- dimensional sparkle</p><p><br></p><p>This item is not available to ship to Venezuela.</p><p><strong>©Disney</strong></p>,ColourPop,Pixie Puff Highlighter,"#.collection:promoproducts,#.hidden:false,#.promo-price:1200,#.shipping:Venezuela-restrict,022521,category:Cheeks,collab:Disney,color2:Neutrals,color:Golds,event:Bambi,finish:None,Golds,Highlighter,Neutrals,new,Pixie Puff Highlighter,productline:ColourPop,productsize:full,producttype:Pixie Puff Highlighter,subcategory:Highlighter,technology:Loose Powder,unitnumber:1,unittype:single",2021-02-25T09:59:11-08:00,Title,Default Title,,,,,HighlighterPuff-MorningLight,108,shopify,,,,16.00,,True,True,,,1,,,Morning Light,Morning Light,,,,,,,,,,,,,,,G,,
waterfall-gold-glitter-gel,Waterfall,<p>warm gold glitter with copper accents</p><p>This item is limited edition.</p><p>©Disney</p>,ColourPop,Glitter Gel,"#.collection:promoproducts,#.hidden:false,#.promo-price:750,111519,category:Body,collab:Disney,color2:Golds,color:Oranges/Corals,dy_keywords:anna|frozen|disney,event:Frozen 2 2019,finish:None,Glitterally Obsessed,Golds,Oranges/Corals,productline:ColourPop,productsize:full,producttype:Glitter Gel,subcategory:Glitterally Obsessed,unitnumber:1,unittype:single",2019-11-15T09:57:32-08:00,Title,Default Title,,,,,GlitterallyObsessed-Waterfall,54,shopify,,,,10.00,,True,True,,,1,,,Waterfall,Waterfall,,,,,,,,,,,,,,,G,,
free-spirit-lip-gloss,Free Spirit,<p>peachy apricot</p><p>This item is limited edition.</p><p>©Disney</p>,ColourPop,Ultra Glossy Lip,"#.hidden:false,#.promo-price:675,111519,category:Lips,collab:Disney,color2:Nudes,color:Oranges/Corals,dy_keywords:frozen|anna|disney,event:Frozen 2 2019,finish:Tinted,LipGloss,LiquidLips,NLD2020,Nudes,Oranges/Corals,productline:ColourPop,productsize:full,producttype:Ultra Glossy Lip,subcategory:Liquid Lips,Tinted,Ultra Glossy Lip,unitnumber:1,unittype:single",2019-11-15T09:57:31-08:00,Title,Default Title,,,,,UltraGlossyLip-FreeSpirit,29,shopify,,,,9.00,,True,True,,,1,,,Free Spirit,Free Spirit,,,,,,,,,,,,,,,G,,
the-dark-sea-glitter-gel,The Dark Sea,<p>silver blue glitter with multidimensional sparkles</p><p>This item is limited edition.</p><p>©Disney</p>,ColourPop,Glitter Gel,"#.collection:promoproducts,#.hidden:false,#.promo-price:750,111519,category:Body,collab:Disney,color2:Neutrals,color:Purples,dy_keywords:elsa|disney|frozen,event:Frozen 2 2019,finish:None,Glitterally Obsessed,Neutrals,productline:ColourPop,productsize:full,producttype:Glitter Gel,Purples,subcategory:Glitterally Obsessed,unitnumber:1,unittype:single",2019-11-15T09:57:31-08:00,Title,Default Title,,,,,GlitterallyObsessed-TheDarkSea,54,shopify,,,,10.00,,True,True,,,1,,,The Dark Sea,The Dark Sea,,,,,,,,,,,,,,,G,,
