Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ladies-long-sleeve-loose-knit-sweater-jacket,Ladies Long Sleeve Loose Knit Sweater Jacket,"<p style=""text-align: left;margin:0;""><img src=""https://wxalbum-10001658.image.myqcloud.com//wxalbum/698097/20200914143148/4f28e25e6add6abd2c28a8937e49afe6.jpg""><br>
Product Details<br>
pattern: plain<br>
Thickness: moderate<br>
Yarn thickness: ordinary wool<br>
Lining composition: acrylic<br>
Lining ingredient content: 100%<br>
Sweater technology: computerized flat knitting machine<br>
Combination form: single piece<br>
Style: street<br>
Version type: loose<br>
Collar type: V-neck<br>
Sleeve type: Raglan sleeves<br>
Sleeve length: long sleeve<br>
Length: Medium length (50cm ＜length ≤65cm)</p>
",Macdilii,Sweater,Sweater,true,color,white,size,S,,,ZYF110907,0.0,shopify,0,continue,manual,29.99,49.99,true,false,"",https://cdn.shopify.com/s/files/1/0462/3273/1803/products/13341726269_773816266.jpg?v=1605065693,1,,false,,Product Details pattern: plain Thickness: moderate Yarn thickness: ordinary wool Lining composition: acrylic Lining ingredient content: 100% Sweater technology,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0462/3273/1803/products/13341726269_773816266.jpg?v=1605065693,kg,,,active
ladies-long-sleeve-loose-knit-sweater-jacket,,,,,,,,white,,M,,,ZYF110908,0.0,shopify,0,continue,manual,29.99,49.99,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0462/3273/1803/products/13341726269_773816266.jpg?v=1605065693,kg,,,
ladies-long-sleeve-loose-knit-sweater-jacket,,,,,,,,white,,L,,,ZYF110909,0.0,shopify,0,continue,manual,29.99,49.99,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0462/3273/1803/products/13341726269_773816266.jpg?v=1605065693,kg,,,
ladies-long-sleeve-loose-knit-sweater-jacket,,,,,,,,white,,XL,,,ZYF110910,0.0,shopify,0,continue,manual,29.99,49.99,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0462/3273/1803/products/13341726269_773816266.jpg?v=1605065693,kg,,,
ladies-striped-knitted-sweater-coat,Ladies striped knitted sweater coat,"<p style=""text-align: left;margin:0;""><img src=""https://wxalbum-10001658.image.myqcloud.com//wxalbum/698097/20200914120953/4d6cdbf24c4ef74fd95bcdefc0c6832f.jpg""><br>
Product Details<br>
Pattern: stripes<br>
Thickness: thick<br>
Yarn thickness: ordinary wool<br>
Lining composition: acrylic<br>
Lining ingredient content: 100%<br>
Sweater technology: computerized flat knitting machine<br>
Combination form: single piece<br>
Style: street<br>
Version type: loose<br>
Collar type: V-neck<br>
Sleeve type: lantern sleeve<br>
Sleeve length: long sleeve<br>
Length: Medium length (50cm ＜length ≤65cm)</p>
",Macdilii,Sweater,Sweater,true,color,red,size,S,,,ZYF110912,0.0,shopify,0,continue,manual,38.56,58.56,true,false,"",https://cdn.shopify.com/s/files/1/0462/3273/1803/products/0752ac16239deb50b64323fb090fcd84.png?v=1605065708,1,,false,,Product Details Pattern: stripes Thickness: thick Yarn thickness: ordinary wool Lining composition: acrylic Lining ingredient content: 100% Sweater technology:,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0462/3273/1803/products/0752ac16239deb50b64323fb090fcd84.png?v=1605065708,kg,,,active
ladies-striped-knitted-sweater-coat,,,,,,,,green,,S,,,ZYF110913,0.0,shopify,0,continue,manual,38.56,58.56,true,false,"",https://cdn.shopify.com/s/files/1/0462/3273/1803/products/ea510135df3bab37425f2cc400682438.png?v=1605065708,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0462/3273/1803/products/43a9fc8ce53365217dc85f5324280e84.png?v=1605065708,kg,,,
ladies-striped-knitted-sweater-coat,,,,,,,,grey,,S,,,ZYF110914,0.0,shopify,0,continue,manual,38.56,58.56,true,false,"",https://cdn.shopify.com/s/files/1/0462/3273/1803/products/ea06c2bf6d97c3726fa29c9fc59b53c0.jpg?v=1605065708,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0462/3273/1803/products/4dcde752f3590fa47257dd61c7c332c1.png?v=1605065708,kg,,,
ladies-striped-knitted-sweater-coat,,,,,,,,orange,,S,,,ZYF110915,0.0,shopify,0,continue,manual,38.56,58.56,true,false,"",https://cdn.shopify.com/s/files/1/0462/3273/1803/products/4a1814b0d0f41926ea2bc4dfe890f275.jpg?v=1605065708,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0462/3273/1803/products/0de8d8ee507dda176e9a81e2b113e612.png?v=1605065708,kg,,,
ladies-striped-knitted-sweater-coat,,,,,,,,purple,,S,,,ZYF110916,0.0,shopify,0,continue,manual,38.56,58.56,true,false,"",https://cdn.shopify.com/s/files/1/0462/3273/1803/products/43a9fc8ce53365217dc85f5324280e84.png?v=1605065708,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0462/3273/1803/products/a40833660df49097ce5d8c0ac6215db7.png?v=1605065708,kg,,,
ladies-striped-knitted-sweater-coat,,,,,,,,red,,M,,,ZYF110918,0.0,shopify,0,continue,manual,38.56,58.56,true,false,"",https://cdn.shopify.com/s/files/1/0462/3273/1803/products/08c819ff36e611934d7043b8825c05a3.png?v=1605065708,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0462/3273/1803/products/0752ac16239deb50b64323fb090fcd84.png?v=1605065708,kg,,,
